iter	Passed	Remaining
0	117	117238
1	177	88772
2	240	79807
3	308	76717
4	368	73398
5	430	71306
6	490	69549
7	545	67656
8	605	66687
9	674	66774
10	726	65324
11	778	64081
12	825	62694
13	883	62248
14	939	61671
15	1038	63872
16	1130	65350
17	1205	65761
18	1275	65873
19	1341	65720
20	1397	65138
21	1458	64834
22	1521	64613
23	1583	64395
24	1648	64282
25	1711	64096
26	1767	63700
27	1825	63359
28	1890	63294
29	1953	63156
30	2012	62910
31	2071	62667
32	2136	62606
33	2200	62514
34	2264	62444
35	2324	62232
36	2381	61987
37	2440	61792
38	2498	61571
39	2565	61571
40	2628	61488
41	2689	61345
42	2746	61130
43	2814	61159
44	2883	61185
45	2943	61051
46	3007	60975
47	3090	61298
48	3160	61341
49	3215	61089
50	3274	60922
51	3335	60801
52	3397	60714
53	3462	60654
54	3522	60520
55	3582	60396
56	3642	60267
57	3701	60120
58	3758	59941
59	3813	59739
60	3876	59679
61	3935	59545
62	3992	59383
63	4052	59265
64	4116	59210
65	4173	59061
66	4233	58951
67	4294	58860
68	4353	58742
69	4413	58639
70	4470	58488
71	4525	58322
72	4581	58183
73	4645	58128
74	4708	58072
75	4770	57997
76	4835	57964
77	4900	57929
78	4957	57800
79	5034	57899
80	5101	57875
81	5176	57950
82	5239	57883
83	5301	57812
84	5358	57687
85	5425	57659
86	5489	57603
87	5556	57586
88	5622	57553
89	5680	57436
90	5742	57366
91	5825	57490
92	5896	57511
93	5957	57416
94	6014	57295
95	6069	57150
96	6129	57060
97	6191	56987
98	6255	56930
99	6314	56827
100	6366	56664
101	6429	56607
102	6485	56483
103	6545	56390
104	6610	56348
105	6667	56233
106	6729	56162
107	6790	56087
108	6861	56085
109	6918	55980
110	6980	55907
111	7050	55898
112	7111	55819
113	7169	55721
114	7257	55854
115	7321	55797
116	7381	55711
117	7443	55634
118	7497	55508
119	7555	55409
120	7617	55339
121	7677	55251
122	7745	55222
123	7809	55167
124	7864	55051
125	7926	54983
126	7980	54860
127	8048	54829
128	8109	54753
129	8172	54695
130	8231	54601
131	8294	54543
132	8361	54508
133	8417	54399
134	8472	54284
135	8528	54180
136	8588	54101
137	8653	54050
138	8711	53958
139	8771	53882
140	8833	53813
141	8893	53737
142	8956	53678
143	8995	53475
144	9054	53390
145	9121	53356
146	9166	53188
147	9229	53130
148	9292	53071
149	9357	53023
150	9434	53046
151	9515	53087
152	9577	53021
153	9640	52960
154	9699	52880
155	9762	52816
156	9830	52785
157	9895	52733
158	9954	52651
159	10016	52585
160	10075	52503
161	10138	52442
162	10204	52400
163	10271	52358
164	10324	52249
165	10390	52201
166	10454	52148
167	10514	52074
168	10569	51971
169	10627	51888
170	10690	51824
171	10755	51774
172	10806	51658
173	10868	51594
174	10924	51501
175	10979	51401
176	11034	51305
177	11096	51243
178	11177	51266
179	11239	51200
180	11295	51109
181	11353	51029
182	11406	50925
183	11467	50855
184	11534	50814
185	11588	50714
186	11653	50663
187	11715	50599
188	11777	50538
189	11841	50484
190	11903	50419
191	11966	50358
192	12006	50204
193	12064	50123
194	12124	50053
195	12181	49969
196	12235	49872
197	12289	49779
198	12351	49715
199	12410	49643
200	12465	49551
201	12523	49474
202	12582	49399
203	12640	49324
204	12703	49264
205	12767	49211
206	12832	49160
207	12890	49081
208	12949	49008
209	13003	48917
210	13060	48838
211	13118	48760
212	13169	48660
213	13230	48592
214	13292	48533
215	13352	48465
216	13408	48381
217	13467	48308
218	13523	48227
219	13581	48151
220	13636	48066
221	13702	48020
222	13767	47971
223	13836	47933
224	13901	47882
225	13960	47810
226	14016	47729
227	14077	47664
228	14149	47637
229	14207	47564
230	14273	47516
231	14333	47448
232	14395	47386
233	14451	47307
234	14513	47245
235	14575	47183
236	14639	47129
237	14695	47051
238	14753	46976
239	14814	46912
240	14871	46835
241	14929	46762
242	14986	46686
243	15048	46624
244	15118	46589
245	15176	46515
246	15235	46445
247	15292	46372
248	15359	46325
249	15420	46262
250	15480	46195
251	15532	46103
252	15587	46024
253	15644	45947
254	15702	45874
255	15759	45801
256	15810	45707
257	15877	45663
258	15940	45607
259	16012	45573
260	16091	45562
261	16152	45498
262	16213	45435
263	16275	45374
264	16336	45312
265	16398	45250
266	16454	45173
267	16510	45094
268	16573	45038
269	16633	44972
270	16692	44902
271	16747	44823
272	16804	44751
273	16865	44688
274	16924	44619
275	16980	44542
276	17040	44478
277	17101	44415
278	17166	44362
279	17220	44280
280	17278	44210
281	17339	44148
282	17398	44080
283	17467	44036
284	17526	43970
285	17585	43901
286	17644	43835
287	17706	43775
288	17769	43715
289	17825	43642
290	17887	43581
291	17943	43507
292	18009	43456
293	18069	43390
294	18125	43316
295	18185	43251
296	18244	43185
297	18302	43115
298	18352	43027
299	18414	42968
300	18477	42908
301	18539	42849
302	18595	42774
303	18647	42692
304	18711	42638
305	18770	42570
306	18843	42535
307	18905	42475
308	18967	42416
309	19021	42337
310	19081	42273
311	19146	42219
312	19209	42163
313	19271	42102
314	19331	42038
315	19389	41969
316	19455	41918
317	19513	41849
318	19574	41788
319	19628	41709
320	19684	41637
321	19754	41594
322	19827	41557
323	19881	41481
324	19954	41443
325	20012	41375
326	20065	41296
327	20140	41263
328	20202	41203
329	20261	41136
330	20319	41068
331	20379	41004
332	20457	40977
333	20525	40929
334	20590	40874
335	20650	40808
336	20709	40742
337	20770	40681
338	20834	40624
339	20906	40582
340	20976	40537
341	21043	40486
342	21102	40420
343	21165	40362
344	21223	40294
345	21287	40237
346	21359	40194
347	21451	40190
348	21547	40193
349	21626	40164
350	21735	40188
351	21817	40163
352	21888	40119
353	21964	40082
354	22022	40013
355	22091	39962
356	22204	39992
357	22275	39947
358	22338	39885
359	22397	39817
360	22454	39746
361	22543	39731
362	22623	39699
363	22743	39737
364	22852	39757
365	22924	39710
366	22996	39664
367	23068	39616
368	23146	39581
369	23217	39531
370	23284	39477
371	23350	39418
372	23430	39385
373	23492	39321
374	23551	39251
375	23616	39193
376	23687	39144
377	23750	39082
378	23822	39033
379	23889	38978
380	23955	38919
381	24025	38868
382	24120	38857
383	24192	38808
384	24253	38742
385	24317	38681
386	24381	38620
387	24444	38556
388	24518	38511
389	24601	38478
390	24666	38418
391	24731	38358
392	24796	38298
393	24870	38252
