iter	RMSE
0	0.9831351166
1	0.9752112564
2	0.9681708168
3	0.9641019793
4	0.9605952109
5	0.9567301853
6	0.952415837
7	0.9486289126
8	0.9466649737
9	0.9442648916
10	0.9423433063
11	0.9397618627
12	0.9375043321
13	0.9359935327
14	0.9348810838
15	0.9346666881
16	0.933177176
17	0.9321322614
18	0.9306547195
19	0.9295184371
20	0.9282830958
21	0.9272508655
22	0.9261338693
23	0.9246457262
24	0.9237438584
25	0.9226378969
26	0.9218706789
27	0.9207438281
28	0.920025767
29	0.9193632972
30	0.9184329105
31	0.918137861
32	0.9174303229
33	0.9163092918
34	0.9157980956
35	0.9151216598
36	0.9145514983
37	0.9138722779
38	0.9132708421
39	0.9129056913
40	0.9123148499
41	0.9117274065
42	0.9110461654
43	0.9103384512
44	0.9096471437
45	0.9095358668
46	0.9090605591
47	0.908005665
48	0.9076946687
49	0.9071699188
50	0.907036145
51	0.9062913971
52	0.905799424
53	0.9049289894
54	0.9040739332
55	0.9038876484
56	0.9030688057
57	0.9029112603
58	0.9021790336
59	0.9017915401
60	0.9013527617
61	0.9012102699
62	0.9009874741
63	0.9003987207
64	0.9000699857
65	0.8995815909
66	0.8989910961
67	0.8984700368
68	0.8981892352
69	0.897898484
70	0.8975283198
71	0.8969072618
72	0.8960064272
73	0.8953891463
74	0.8951067855
75	0.8948767933
76	0.894152732
77	0.893459928
78	0.8930278086
79	0.8923888783
80	0.8917448209
81	0.8909868697
82	0.8904776759
83	0.8899839221
84	0.8892983735
85	0.889203553
86	0.8889774685
87	0.8886777163
88	0.8881555937
89	0.8875994255
90	0.8867939494
91	0.8862847851
92	0.8860894746
93	0.8857712322
94	0.8850928727
95	0.8843592092
96	0.883925628
97	0.8834390947
98	0.8832373898
99	0.8827036492
100	0.8823059769
101	0.8814523324
102	0.880778272
103	0.8801845243
104	0.879632971
105	0.8790356893
106	0.8785122205
107	0.8776838562
108	0.8770795383
109	0.8765002828
110	0.8763464762
111	0.8758682415
112	0.8755578315
113	0.8752302709
114	0.8750998968
115	0.8744908242
116	0.8737846153
117	0.8729231208
118	0.8725169842
119	0.8718580551
120	0.8711890348
121	0.8709619326
122	0.8705316801
123	0.8702147255
124	0.8695626228
125	0.8692580507
126	0.8688346296
127	0.8682326571
128	0.8678035746
129	0.8675555566
130	0.8672119355
131	0.8666228034
132	0.8664765789
133	0.866135743
134	0.865277498
135	0.865084503
136	0.864621448
137	0.8644704339
138	0.8640952088
139	0.8636249435
140	0.862837505
141	0.8621269545
142	0.8614727757
143	0.86059157
144	0.8603792971
145	0.8601427808
146	0.8595417545
147	0.8591583282
148	0.8588791132
149	0.8583472377
150	0.8578109553
151	0.8570241441
152	0.8566188472
153	0.8562446984
154	0.8555015047
155	0.8549884074
156	0.8547008575
157	0.8540032619
158	0.8534501431
159	0.8529805058
160	0.8527767934
161	0.8524207617
162	0.8518696897
163	0.8510840307
164	0.8505093309
165	0.8501247629
166	0.8493550339
167	0.8486789018
168	0.848008823
169	0.8474881578
170	0.8470052456
171	0.8464302047
172	0.8459301367
173	0.845169531
174	0.8448713319
175	0.8443726461
176	0.8438988267
177	0.843246434
178	0.8427695647
179	0.8420765877
180	0.8416408857
181	0.8411126475
182	0.8408001875
183	0.8403117784
184	0.8398804901
185	0.8394302398
186	0.8392041043
187	0.8388036571
188	0.838249493
189	0.838129455
190	0.8376737861
191	0.8372250857
192	0.8368376877
193	0.8359732998
194	0.8356215012
195	0.8352833553
196	0.8349956321
197	0.8345545118
198	0.8339878713
199	0.8334585127
