Latitude,Longitude,Depth,Magnitude,Root Mean Square,Damage_Potential,Magnitude Type_MD,Magnitude Type_MH,Magnitude Type_ML,Magnitude Type_MS,Magnitude Type_MW,Magnitude Type_MWB,Magnitude Type_MWC,Magnitude Type_MWR,Magnitude Type_MWW,Magnitude Type_nan,Status_Reviewed
14.944,-61.274,156.0,7.4,0.74,5.994285714285715,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-14.438,-75.966,24.0,6.9,1.0,6.071428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
38.34,20.42,15.0,5.7,1.2019000000000006,5.377142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
42.525,145.021,28.6,5.5,0.8,5.218285714285714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-15.864,-172.067,27.9,5.7,0.9,5.340285714285715,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-19.9262,-70.7961,3.32,5.8,1.2,5.470514285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-24.089,-70.104,41.3,6.1,0.9,5.542,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
8.116,-38.413,10.0,6.1,1.1,5.631428571428572,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-3.373,146.311,10.0,6.2,1.24,5.691428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-57.482,147.568,10.0,6.1,1.33,5.631428571428572,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-1.155,136.416,33.0,5.7,1.1329000000000007,5.325714285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37.812,142.619,10.0,7.0,0.8,6.171428571428572,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
23.324,-108.53,10.0,6.5,1.37,5.871428571428572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
63.126,-150.968,130.4,5.5,0.9293000000000002,4.927428571428571,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-15.391,-173.155,33.0,5.8,1.1892999999999996,5.385714285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10.032,126.247,10.0,5.5,0.92,5.271428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
38.474,116.608,29.7,6.1,1.0237999999999996,5.575142857142857,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-19.548,-70.7269,10.0,5.6,1.04,5.331428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-30.385,-177.608,33.0,5.5,1.08,5.2057142857142855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4.888,70.145,20.0,5.5,1.0,5.242857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-30.224,-178.091,57.2,5.9,1.08,5.376571428571428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-6.6207,154.7421,29.0,6.4,0.63,5.757142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-9.571,122.528,32.5,6.2,1.3,5.627142857142857,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-6.764,129.568,33.9,5.6,1.1,5.2631428571428565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
26.124,128.5,33.0,5.5,1.12,5.2057142857142855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-21.189,169.831,58.5,6.0,1.2,5.432857142857142,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-37.551,-73.465,35.0,5.8,0.87,5.38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-57.261,-25.802,61.9,5.5,0.83,5.123142857142858,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-17.889,-172.888,53.0,5.5,1.0,5.148571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-6.234,148.795,57.8,6.0,1.0,5.434857142857143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-13.507,166.806,35.0,5.5,1.02,5.199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-29.627,-178.264,72.0,5.6,1.2402000000000002,5.154285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-1.468,99.851,51.0,5.9,0.8960000000000001,5.394285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25.73,125.148,10.0,5.7,0.98,5.3914285714285715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-15.3122,-70.827,12.0,6.2,1.11,5.685714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5.446,94.416,48.0,5.6,0.73,5.222857142857142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-27.001,-176.322,10.0,6.0,0.91,5.571428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-25.083,179.705,515.6,5.6,1.1,3.8868571428571426,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1.093,-90.46,10.0,5.9,1.24,5.511428571428572,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-4.525,-105.723,10.0,5.8,1.2,5.451428571428572,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-4.119,102.28,90.0,5.6,1.0375000000000008,5.102857142857143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55.642,164.112,33.0,5.7,0.9525999999999994,5.325714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
46.419,153.377,45.6,5.8,1.12,5.349714285714286,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-32.589,-179.353,34.0,6.6,1.03,5.862857142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-19.212,167.639,33.0,5.5,1.0,5.2057142857142855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-56.273,-143.186,10.0,5.5,1.22,5.271428571428571,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
39.59,143.458,10.0,5.9,1.0,5.511428571428572,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-4.83,102.095,33.0,6.0,1.0623000000000005,5.505714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-5.972,112.225,598.0,6.7,1.0345,4.311428571428571,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.214,142.246,33.0,5.5,0.87,5.2057142857142855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
38.701,30.872,10.0,5.5,0.95,5.271428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33.579,140.999,18.0,6.5,0.9,5.848571428571429,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.654,137.854,15.0,6.2,1.0659999999999994,5.677142857142857,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35.912,141.601,5.8,5.5,0.76,5.283428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-39.312,-74.756,26.9,5.6,1.0,5.283142857142857,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
-26.939,-63.272,578.4,5.6,0.9,3.7074285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
18.886,-103.545,33.0,5.6,1.106199999999999,5.265714285714286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-33.73,-72.198,31.2,5.8,1.2,5.390857142857143,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-3.857,131.43,25.0,5.6,1.15,5.288571428571428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
-15.545,167.632,125.0,5.6,0.9253999999999999,5.002857142857143,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-17.521,-70.422,103.8,5.9,1.1,5.243428571428572,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
16.122,-97.93,12.3,6.2,1.0,5.684857142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
37.5,141.625,40.0,5.5,1.03,5.185714285714286,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-11.656,166.317,39.5,5.7,1.02,5.307142857142857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14.2197,-90.8905,84.0,5.7,1.48,5.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-28.07,-177.679,146.6,5.9,1.12,5.121142857142857,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-4.562,149.886,521.0,5.6,0.7512000000000006,3.8714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2.005,94.489,25.0,7.6,1.0714999999999995,6.488571428571428,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.041,143.77,12.6,6.2,1.3,5.683999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7.696,91.958,20.5,5.5,1.24,5.241428571428571,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
